0,01110,"Conreu de cereals i altres conreus",0111
1,01121,"Conreu d'hortalisses",0112
2,01122,"Conreu de flors i plantes ornamentals",0112
3,01131,"Conreu de vinya",0113
4,01132,"Conreu de cítrics",0113
5,01133,"Conreu d'olivera",0113
6,01134,"Conreu d'altres fruites, fruita seca, espècies i conreus per a begudes",0113
7,01210,"Explotació de bestiar boví i producció de llet crua",0121
8,01221,"Explotació de bestiar oví i cabrum",0122
9,01222,"Explotació de bestiar equí",0122
10,01231,"Explotació intensiva de bestiar porcí",0123
11,01232,"Explotació extensiva de bestiar porcí",0123
12,01240,"Avicultura",0124
13,01250,"Altres explotacions de bestiar",0125
14,01300,"Producció agrícola combinada amb la producció ramadera",0130
15,01410,"Activitats dels serveis relacionats amb l'agricultura i el manteniment de jardins",0141
16,01420,"Activitats dels serveis relacionats amb la ramaderia, excepte les activitats veterinàries",0142
17,01501,"Caça i captura d'animals",0150
18,01502,"Repoblació cinegètica",0150
19,01503,"Activitats dels serveis relacionats amb la caça",0150
20,02011,"Silvicultura",0201
21,02012,"Explotació forestal",0201
22,02020,"Activitats dels serveis relacionats amb la silvicultura i l'explotació forestal",0202
23,05010,"Pesca",0501
24,05021,"Aqüicultura continental",0502
25,05022,"Aqüicultura marina",0502
26,10101,"Extracció i aglomeració d'antracita",1010
27,10102,"Extracció i aglomeració d'hulla",1010
28,10103,"Extracció i aglomeració d'hulla subbituminosa",1010
29,10200,"Extracció i aglomeració de lignit bru",1020
30,10300,"Extracció i aglomeració de torba",1030
31,11100,"Extracció de petroli brut i de gas natural",1110
32,11200,"Activitats dels serveis relacionats amb les explotacions petrolíferes i de gas, excepte les activitats de prospecció",1120
33,12000,"Extracció de minerals d'urani i de tori",1200
34,13100,"Extracció de minerals de ferro",1310
35,13201,"Extracció de coure, plom i zinc",1320
36,13202,"Extracció de metalls preciosos",1320
37,13203,"Extracció d'altres minerals metàl·lics no fèrrics",1320
38,14111,"Extracció de marbre",1411
39,14112,"Extracció de granit",1411
40,14113,"Extracció d'altres tipus de pedra ornamental i per a la construcció",1411
41,14121,"Extracció de guix",1412
42,14122,"Extracció de creta",1412
43,14123,"Extracció d'altres pedres",1412
44,14130,"Extracció de pissarres",1413
45,14210,"Extracció de graves i sorres",1421
46,14221,"Extracció de caolí",1422
47,14222,"Extracció d'argila",1422
48,14301,"Extracció de fosfats i nitrats",1430
49,14302,"Extracció de sals potàssiques",1430
50,14303,"Extracció de pirites i sofre",1430
51,14304,"Extracció de fluorita",1430
52,14305,"Extracció d'altres minerals per a adobs i productes químics",1430
53,14401,"Extracció de sal marina",1440
54,14402,"Extracció de sal de font i sal gemma",1440
55,14501,"Extracció de feldspats",1450
56,14502,"Extracció d'altres minerals",1450
57,15111,"Sacrifici de bestiar",1511
58,15112,"Especejament de bestiar",1511
59,15121,"Sacrifici d'aviram i conills",1512
60,15122,"Especejament d'aviram i conills",1512
61,15131,"Elaboració de productes carnis",1513
62,15132,"Manipulació de productes carnis elaborats",1513
63,15133,"Elaboració de plats preparats a base de carn",1513
64,15201,"Elaboració de productes congelats o refrigerats de peix i altres productes marins",1520
65,15202,"Fabricació de conserves de peix",1520
66,15203,"Elaboració de productes de la pesca fumats",1520
67,15310,"Preparació i conservació de patates",1531
68,15321,"Fabricació de suc de raïm",1532
69,15322,"Fabricació d'altres sucs de fruites i hortalisses",1532
70,15331,"Preparació d'hortalisses congelades",1533
71,15332,"Preparació i conservació d'hortalisses no congelades",1533
72,15333,"Preparació i conservació d'olives",1533
73,15334,"Fabricació de conserves de fruites",1533
74,15411,"Obtenció d'oli d'oliva sense refinar",1541
75,15412,"Obtenció d'altres greixos i olis vegetals sense refinar",1541
76,15413,"Obtenció d'altres greixos i olis animals no comestibles",1541
77,15420,"Fabricació d'olis i greixos refinats",1542
78,15430,"Fabricació de margarina i greixos comestibles similars",1543
79,15511,"Preparació de llet, fabricació de mantega i altres productes lactis",1551
80,15512,"Fabricació de formatges",1551
81,15520,"Elaboració de gelats",1552
82,15611,"Mòlta de blat",1561
83,15612,"Mòlta d'altres grans",1561
84,15613,"Fabricació d'altres productes de molineria",1561
85,15620,"Fabricació de midons i productes amilacis",1562
86,15711,"Elaboració de pinsos per a l'alimentació d'animals de granja, excepte medicamentosos",1571
87,15712,"Elaboració de pinsos medicamentosos per a l'alimentació d'animals de granja",1571
88,15713,"Deshidratació d'alfals i altres plantes farratgeres per a l'alimentació d'animals de granja",1571
89,15720,"Fabricació de productes per a l'alimentació d'animals de companyia",1572
90,15811,"Fabricació de pa i altres productes de fleca frescos",1581
91,15812,"Fabricació de productes de pastisseria",1581
92,15821,"Fabricació de galetes",1582
93,15822,"Fabricació de productes de fleca i pastisseria de llarga durada",1582
94,15830,"Indústries del sucre",1583
95,15841,"Fabricació de cacau i xocolata",1584
96,15842,"Fabricació de productes de confiteria",1584
97,15850,"Fabricació de pastes alimentàries",1585
98,15860,"Elaboració de cafè, te i infusions",1586
99,15871,"Elaboració de vinagres, salses i condiments mixtos",1587
100,15872,"Elaboració d'espècies",1587
101,15881,"Elaboració de preparats per a l'alimentació infantil",1588
102,15882,"Elaboració d'altres preparats dietètics",1588
103,15890,"Elaboració d'altres productes alimentaris",1589
104,15911,"Obtenció d'aiguardents naturals",1591
105,15912,"Obtenció d'altres begudes alcohòliques destil·lades",1591
106,15920,"Destil·lació d'alcohol etílic procedent de fermentació",1592
107,15931,"Elaboració de caves i vins escumosos naturals",1593
108,15932,"Elaboració i criança de vins",1593
109,15940,"Elaboració de sidra i altres begudes fermentades a partir de fruites",1594
110,15950,"Elaboració d'altres begudes no destil·lades, procedents de fermentació",1595
111,15960,"Fabricació de cervesa",1596
112,15970,"Fabricació de malt",1597
113,15981,"Envasament d'aigua mineral natural, de font i potable preparada",1598
114,15982,"Producció de begudes refrescants sense alcohol",1598
115,16000,"Indústries del tabac",1600
116,17110,"Preparació i filatura de fibres de cotó i les seves mescles",1711
117,17120,"Preparació i filatura de fibres de llana cardada i les seves mescles",1712
118,17130,"Preparació i filatura de fibres de llana pentinada i les seves mescles",1713
119,17140,"Preparació i filatura de fibres de lli i les seves mescles",1714
120,17150,"Retorciment i preparació de la seda; retorciment i texturació de filaments sintètics i artificials",1715
121,17160,"Fabricació de fil de cosir",1716
122,17170,"Preparació i filatura d'altres fibres tèxtils",1717
123,17210,"Fabricació de teixits de cotó i les seves mescles",1721
124,17220,"Fabricació de teixits de llana cardada i les seves mescles",1722
125,17230,"Fabricació de teixits de llana pentinada i les seves mescles",1723
126,17240,"Fabricació de teixits de seda",1724
127,17250,"Fabricació d'altres teixits tèxtils",1725
128,17301,"Tenyiment de tèxtils",1730
129,17302,"Estampació de tèxtils",1730
130,17303,"Altres acabaments de tèxtils",1730
131,17400,"Fabricació d'altres articles confeccionats amb tèxtils, excepte la roba de vestir",1740
132,17510,"Fabricació de catifes i moquetes",1751
133,17520,"Fabricació de cordes, cordills, caramells i xarxes",1752
134,17530,"Fabricació de teles no teixides i articles confeccionats amb aquestes teles, excepte la roba de vestir",1753
135,17541,"Fabricació de teixits estrets",1754
136,17542,"Fabricació de teixits impregnats, endurits o recoberts amb matèries plàstiques",1754
137,17543,"Fabricació d'altres articles tèxtils",1754
138,17600,"Fabricació de teixits de punt",1760
139,17710,"Fabricació de calceteria",1771
140,17720,"Fabricació d'altres articles amb teixits de punt",1772
141,18100,"Confecció de peces de vestir de cuir",1810
142,18210,"Confecció de roba de treball",1821
143,18221,"Confecció industrial",1822
144,18222,"Confecció a mida",1822
145,18231,"Confecció de roba interior masculina",1823
146,18232,"Confecció de llenceria femenina",1823
147,18241,"Confecció de roba per a bebè i primera infància",1824
148,18242,"Confecció de roba d'esport",1824
149,18243,"Confecció d'altres tipus de peces de vestir i accessoris",1824
150,18301,"Preparació, adob i tenyiment de pells de pelleteria",1830
151,18302,"Fabricació d'articles de pelleteria",1830
152,19100,"Preparació, adob i acabament del cuir",1910
153,19201,"Fabricació d'articles de marroquineria i viatge",1920
154,19202,"Fabricació d'altres articles de pell",1920
155,19300,"Fabricació de calçat",1930
156,20101,"Serrada i planejament de la fusta",2010
157,20102,"Preparació industrial de la fusta",2010
158,20200,"Fabricació de fulloles, taulers contraplacats, enllistonats, de partícules aglomerades, de fibres i altres taulers i plafons",2020
159,20301,"Fabricació de peces de fusteria i ebenisteria per a la construcció",2030
160,20302,"Fabricació d'estructures de fusta",2030
161,20400,"Fabricació d'envasos i embalatges de fusta",2040
162,20510,"Fabricació d'altres productes de fusta",2051
163,20521,"Tractament del suro en escruix i fabricació de productes de suro",2052
164,20522,"Fabricació d'articles de cistelleria i esparteria",2052
165,21111,"Fabricació de pasta de paper a partir de fibra verge",2111
166,21112,"Fabricació de pasta de paper a partir de fibra regenerada",2111
167,21120,"Fabricació de paper i de cartó",2112
168,21210,"Fabricació de paper i de cartó ondulats; fabricació d'envasos i embalatges de paper i de cartó",2121
169,21220,"Fabricació d'articles de paper i de cartó per a ús domèstic i sanitari",2122
170,21230,"Fabricació d'articles de papereria",2123
171,21240,"Fabricació de papers pintats",2124
172,21250,"Fabricació d'altres articles de paper i de cartó",2125
173,22110,"Edició de llibres",2211
174,22120,"Edició de periòdics",2212
175,22130,"Edició de revistes",2213
176,22140,"Edició de suports de so enregistrats",2214
177,22150,"Altres activitats d'edició",2215
178,22210,"Impressió de periòdics",2221
179,22220,"Altres activitats d'impressió",2222
180,22230,"Enquadernació",2223
181,22240,"Activitats de preimpressió",2224
182,22250,"Activitats auxiliars relacionades amb la impressió",2225
183,22310,"Reproducció de suports de so enregistrats",2231
184,22320,"Reproducció de suports de vídeo enregistrats",2232
185,22330,"Reproducció de suports d'informàtica enregistrats",2233
186,23100,"Coqueries",2310
187,23200,"Refinació de petroli",2320
188,23301,"Producció de combustibles nuclears i isòtops radioactius",2330
189,23302,"Processament de combustibles nuclears i gestió de residus radioactius",2330
190,24110,"Fabricació de gasos industrials",2411
191,24120,"Fabricació de colorants i pigments",2412
192,24130,"Fabricació de productes bàsics de química inorgànica",2413
193,24141,"Fabricació de productes químics orgànics d'origen petroquímic",2414
194,24142,"Fabricació d'altres productes bàsics de química orgànica",2414
195,24150,"Fabricació d'adobs i compostos nitrogenats fertilitzants",2415
196,24160,"Fabricació de primeres matèries plàstiques",2416
197,24170,"Fabricació de cautxú sintètic en forma primària",2417
198,24200,"Fabricació de plaguicides i altres productes agroquímics",2420
199,24301,"Fabricació de pintures, vernissos i revestiments similars",2430
200,24302,"Fabricació de tintes d'impremta",2430
201,24410,"Fabricació de productes farmacèutics de base",2441
202,24421,"Fabricació d'especialitats farmacèutiques",2442
203,24422,"Fabricació d'altres productes de farmàcia",2442
204,24510,"Fabricació de sabons, detergents i altres articles de neteja i abrillantament",2451
205,24520,"Fabricació de perfums i productes de bellesa i higiene",2452
206,24611,"Fabricació d'explosius",2461
207,24612,"Fabricació d'articles pirotècnics",2461
208,24620,"Fabricació de coles i gelatines",2462
209,24630,"Fabricació d'olis essencials",2463
210,24640,"Fabricació de material fotogràfic verge i preparats químics per a fotografia",2464
211,24650,"Fabricació de suports verges per a enregistrament",2465
212,24661,"Tractament d'olis i greixos per a usos industrials",2466
213,24662,"Fabricació d'altres productes químics",2466
214,24700,"Fabricació de fibres artificials i sintètiques",2470
215,25110,"Fabricació de pneumàtics i cambres de cautxú",2511
216,25120,"Reconstrucció i recautxutatge de pneumàtics",2512
217,25130,"Fabricació d'altres productes de cautxú",2513
218,25210,"Fabricació de plaques, fulls, tubs i perfils de matèries plàstiques",2521
219,25220,"Fabricació d'envasos i embalatges de matèries plàstiques",2522
220,25230,"Fabricació de productes de matèries plàstiques per a la construcció",2523
221,25241,"Fabricació de productes diversos amb matèries plàstiques",2524
222,25242,"Fabricació de peces tècniques amb matèries plàstiques",2524
223,26110,"Fabricació de vidre pla",2611
224,26120,"Manipulació i transformació del vidre pla",2612
225,26130,"Fabricació de vidre buit",2613
226,26140,"Fabricació de fibra de vidre",2614
227,26150,"Fabricació i manipulació d'altres vidres (inclòs el vidre tècnic)",2615
228,26210,"Fabricació d'articles ceràmics d'ús domèstic i ornamental",2621
229,26220,"Fabricació d'aparells sanitaris ceràmics",2622
230,26230,"Fabricació d'aïlladors i peces aïllants de material ceràmic",2623
231,26240,"Fabricació d'altres productes ceràmics d'ús tècnic",2624
232,26250,"Fabricació d'altres productes ceràmics",2625
233,26260,"Fabricació de productes ceràmics refractaris",2626
234,26300,"Fabricació de rajoles de València i rajoles de ceràmica",2630
235,26400,"Fabricació de maons, teules i productes de terra cuita per a la construcció",2640
236,26510,"Fabricació de ciment",2651
237,26520,"Fabricació de calç",2652
238,26530,"Fabricació de guix",2653
239,26610,"Fabricació d'elements de formigó per a la construcció",2661
240,26620,"Fabricació d'elements de guix per a la construcció",2662
241,26630,"Fabricació de formigó fresc",2663
242,26640,"Fabricació de morter",2664
243,26650,"Fabricació de fibrociment",2665
244,26660,"Fabricació d'altres productes de formigó, guix i ciment",2666
245,26701,"Tallament i acabament de la pedra",2670
246,26702,"Fabricació de pedres artificials amb aglutinants sintètics",2670
247,26810,"Fabricació de productes abrasius",2681
248,26820,"Fabricació d'altres productes minerals no metàl·lics",2682
249,27100,"Fabricació de productes bàsics de ferro, acer i ferroaliatges",2710
250,27211,"Producció de tubs de ferro",2721
251,27212,"Producció d'accessoris de tubs de ferro",2721
252,27221,"Producció de tubs d'acer",2722
253,27222,"Producció d'accessoris de tubs d'acer",2722
254,27310,"Estiratge en fred",2731
255,27320,"Laminatge en fred",2732
256,27330,"Producció de perfils en fred amb conformació per doblegament",2733
257,27340,"Trefilatge en fred",2734
258,27410,"Producció i primera transformació de metalls preciosos",2741
259,27420,"Producció i primera transformació d'alumini",2742
260,27431,"Producció i primera transformació de plom",2743
261,27432,"Producció i primera transformació de zinc",2743
262,27433,"Producció i primera transformació d'estany",2743
263,27440,"Producció i primera transformació de coure",2744
264,27450,"Producció i primera transformació d'altres metalls no fèrrics",2745
265,27510,"Fosa de ferro",2751
266,27520,"Fosa d'acer",2752
267,27530,"Fosa de metalls lleugers",2753
268,27540,"Fosa d'altres metalls no fèrrics",2754
269,28110,"Fabricació d'estructures metàl·liques i els seus components",2811
270,28120,"Fabricació de tancaments metàl·lics",2812
271,28210,"Fabricació de cisternes, grans dipòsits i contenidors de metall",2821
272,28220,"Fabricació de radiadors i calderes per a calefacció central",2822
273,28300,"Fabricació de generadors de vapor",2830
274,28401,"Forja i estampació de metalls",2840
275,28402,"Tall amb matriu i embotició de metalls",2840
276,28403,"Pulverimetal·lúrgia",2840
277,28510,"Tractament i revestiment de metalls",2851
278,28520,"Enginyeria mecànica general per compte d'altri",2852
279,28610,"Fabricació d'articles de ganiveteria i coberts",2861
280,28621,"Fabricació d'eines manuals",2862
281,28622,"Fabricació d'eines mecàniques",2862
282,28630,"Fabricació de panys i ferramentes",2863
283,28710,"Fabricació de bidons i tonells de ferro o d'acer",2871
284,28720,"Fabricació d'envasos i embalatges lleugers, en metall",2872
285,28730,"Fabricació de productes de filferro",2873
286,28740,"Fabricació de perns, cargols, cadenes i molles",2874
287,28751,"Fabricació d'articles metàl·lics de parament domèstic",2875
288,28752,"Fabricació de caixes fortes i portes de seguretat",2875
289,28753,"Fabricació d'altres productes metàl·lics diversos",2875
290,29110,"Fabricació de motors i turbines, excepte els destinats a aeronaus, vehicles automòbils i ciclomotors",2911
291,29121,"Fabricació de bombes",2912
292,29122,"Fabricació de compressors",2912
293,29123,"Fabricació de transmissions hidràuliques i pneumàtiques",2912
294,29130,"Fabricació de vàlvules i aixetes",2913
295,29141,"Fabricació de rodaments",2914
296,29142,"Fabricació d'òrgans mecànics de transmissió",2914
297,29210,"Fabricació de forns i cremadors",2921
298,29221,"Fabricació d'ascensors, muntacàrregues, escales mecàniques i similars",2922
299,29222,"Fabricació d'altres tipus de materials d'elevació i de manipulació",2922
300,29230,"Fabricació de maquinària de ventilació i refrigeració no domèstica",2923
301,29241,"Fabricació de maquinària i d'equips d'embalatge i de condicionament",2924
302,29242,"Fabricació de materials per pesar",2924
303,29243,"Fabricació d'altres tipus de maquinària d'ús general per a la indústria",2924
304,29310,"Fabricació de tractors agrícoles",2931
305,29321,"Producció d'altres tipus de maquinària agrària",2932
306,29322,"Reparació de maquinària i material agrari",2932
307,29410,"Fabricació de màquines eina elèctriques portàtils",2941
308,29420,"Fabricació de màquines eina per treballar els metalls, excepte elèctriques portàtils",2942
309,29430,"Fabricació d'altres tipus de màquines eina",2943
310,29510,"Fabricació de maquinària per a les indústries metal·lúrgiques",2951
311,29520,"Fabricació de maquinària per a les indústries extractives i de la construcció",2952
312,29530,"Fabricació de maquinària per a les indústries de l'alimentació, begudes i tabac",2953
313,29541,"Fabricació de maquinària per a les indústries tèxtils i de la confecció",2954
314,29542,"Fabricació de maquinària de rentatge i neteja en sec",2954
315,29543,"Fabricació de maquinària per a les indústries del cuir i del calçat",2954
316,29550,"Fabricació de maquinària per a les indústries del paper i del cartó",2955
317,29561,"Fabricació de maquinària i equips per a arts gràfiques",2956
318,29562,"Fabricació de màquines per treballar el cautxú i les matèries plàstiques",2956
319,29563,"Fabricació de motlles",2956
320,29564,"Fabricació d'altres tipus de maquinària per a usos específics",2956
321,29601,"Fabricació d'armament pesant",2960
322,29602,"Fabricació d'armes lleugeres",2960
323,29710,"Fabricació d'aparells electrodomèstics",2971
324,29720,"Fabricació d'aparells domèstics no elèctrics",2972
325,30010,"Fabricació de màquines d'oficina",3001
326,30020,"Fabricació d'ordinadors i altres equips informàtics",3002
327,31100,"Fabricació de motors elèctrics, transformadors i generadors",3110
328,31200,"Fabricació d'aparells de distribució i control elèctrics",3120
329,31300,"Fabricació de fils i cables elèctrics aïllats",3130
330,31400,"Fabricació d'acumuladors i piles elèctriques",3140
331,31501,"Fabricació de llums i tubs elèctrics",3150
332,31502,"Fabricació d'aparells d'il·luminació",3150
333,31611,"Fabricació d'aparells i dispositius elèctrics per a motors de combustió interna",3161
334,31612,"Fabricació d'aparells elèctrics d'il·luminació i senyalització per a material de transport",3161
335,31620,"Fabricació d'altres tipus d'equips i materials elèctrics",3162
336,32100,"Fabricació de vàlvules, tubs i altres components electrònics",3210
337,32201,"Fabricació d'equips d'emissió de ràdio i televisió",3220
338,32202,"Fabricació d'aparells per a la radiotelefonia i radiotelegrafia amb fils",3220
339,32300,"Fabricació d'aparells de recepció, enregistrament i reproducció de so i imatge",3230
340,33100,"Fabricació d'equips i instruments medicoquirúrgics i d'aparells ortopèdics",3310
341,33200,"Fabricació d'instruments i aparells de mesura, verificació, control, navegació i altres fins, excepte equips de control per a processos industrials",3320
342,33300,"Fabricació d'equips de control per a processos industrials",3330
343,33401,"Fabricació de lents correctores de la visió",3340
344,33402,"Fabricació d'instruments fotogràfics i òptics",3340
345,33500,"Fabricació de rellotges",3350
346,34100,"Fabricació de vehicles de motor",3410
347,34200,"Fabricació de carrosseries per a vehicles de motor, remolcs i semiremolcs",3420
348,34300,"Fabricació de components, peces i accessoris no elèctrics per a vehicles de motor i els seus motors",3430
349,35111,"Construcció i reparació de vaixells",3511
350,35112,"Desballestament naval",3511
351,35120,"Construcció i reparació d'embarcacions d'esbarjo i d'esport",3512
352,35200,"Fabricació de material ferroviari",3520
353,35300,"Construcció aeronàutica i espacial",3530
354,35410,"Fabricació de motocicletes",3541
355,35420,"Fabricació de bicicletes",3542
356,35430,"Fabricació de vehicles per a persones amb discapacitat",3543
357,35500,"Fabricació d'altres materials de transport",3550
358,36110,"Fabricació de cadires i altres seients",3611
359,36120,"Fabricació de mobles d'oficina i d'establiments comercials",3612
360,36130,"Fabricació de mobles de cuina i bany",3613
361,36141,"Fabricació de mobles domèstics",3614
362,36142,"Fabricació de mobles de jardí",3614
363,36143,"Fabricació d'altres mobles diversos",3614
364,36144,"Activitats relacionades amb la fabricació de mobles",3614
365,36150,"Fabricació de matalassos",3615
366,36210,"Fabricació de monedes",3621
367,36221,"Fabricació d'articles de joieria",3622
368,36222,"Fabricació d'articles d'orfebreria i argenteria",3622
369,36300,"Fabricació d'instruments musicals",3630
370,36400,"Fabricació d'articles d'esport",3640
371,36500,"Fabricació de jocs i joguines",3650
372,36610,"Fabricació de bijuteria",3661
373,36620,"Fabricació d'escombres, brotxes i raspalls",3662
374,36630,"Fabricació d'altres articles",3663
375,37100,"Reciclatge de ferralla i residus de metall",3710
376,37200,"Reciclatge de residus no metàl·lics",3720
377,40111,"Producció d'energia hidroelèctrica",4011
378,40112,"Producció d'energia elèctrica d'origen tèrmic",4011
379,40113,"Producció d'energia elèctrica d'origen nuclear",4011
380,40114,"Producció d'energia elèctrica d'origen eòlic",4011
381,40115,"Producció d'energia elèctrica d'altres tipus",4011
382,40120,"Transport d'energia elèctrica",4012
383,40130,"Distribució i comerç d'energia elèctrica",4013
384,40210,"Producció de gas",4021
